time_s,phase,alpha_command_deg,alpha_actual_deg,theta_actual_deg,position_cm,velocity_cm_s,acceleration_m_s2
0.001,1.0,0.20630064747864624,0.20630064747864624,-1.7700520110213221e-15,0.0,0.0,0.0
0.002,1.0,0.20630064747864624,0.20630064747864624,-1.7700520110213221e-15,0.0,0.0,0.0
0.003,1.0,0.20630064747864624,0.20630064747864624,-1.7700520110213221e-15,0.0,0.0,0.0
0.004,1.0,0.20630064747864624,0.20630064747864624,-1.7700520110213221e-15,0.0,0.0,0.0
0.005,1.0,0.20630064747864624,0.20630064747864624,-1.7700520110213221e-15,0.0,0.0,0.0
0.006,1.0,0.20630064747864624,0.20630064747864624,-1.7700520110213221e-15,0.0,0.0,0.0
0.007,1.0,0.20630064747864624,0.20630064747864624,-1.7700520110213221e-15,0.0,0.0,0.0
0.008,1.0,0.20630064747864624,0.20630064747864624,-1.7700520110213221e-15,0.0,0.0,0.0
0.009000000000000001,1.0,0.20630064747864624,0.20630064747864624,-1.7700520110213221e-15,0.0,0.0,0.0
0.010000000000000002,1.0,0.20630064747864624,0.20630064747864624,-1.7700520110213221e-15,0.0,0.0,0.0
0.011000000000000003,1.0,0.20630064747864624,0.20630064747864624,-1.7700520110213221e-15,0.0,0.0,0.0
0.012000000000000004,1.0,0.20630064747864624,0.20630064747864624,-1.7700520110213221e-15,0.0,0.0,0.0
0.013000000000000005,1.0,0.20630064747864624,0.20630064747864624,-1.7700520110213221e-15,0.0,0.0,0.0
0.014000000000000005,1.0,0.20630064747864624,0.20630064747864624,-1.7700520110213221e-15,0.0,0.0,0.0
0.015000000000000006,1.0,0.20630064747864624,0.20630064747864624,-1.7700520110213221e-15,0.0,0.0,0.0
0.016000000000000007,1.0,0.20630064747864624,0.20630064747864624,-1.7700520110213221e-15,0.0,0.0,0.0
0.017000000000000008,1.0,0.20630064747864624,0.20630064747864624,-1.7700520110213221e-15,0.0,0.0,0.0
0.01800000000000001,1.0,0.20630064747864624,0.20630064747864624,-1.7700520110213221e-15,0.0,0.0,0.0
0.01900000000000001,1.0,0.20630064747864624,0.20630064747864624,-1.7700520110213221e-15,0.0,0.0,0.0
0.02000000000000001,1.0,0.20630064747864624,0.20630064747864624,-1.7700520110213221e-15,0.0,0.0,0.0
0.02100000000000001,1.0,0.20630064747864624,0.20630064747864624,-1.7700520110213221e-15,0.0,0.0,0.0
0.022000000000000013,1.0,0.20630064747864624,0.20630064747864624,-1.7700520110213221e-15,0.0,0.0,0.0
0.023000000000000013,1.0,0.20630064747864624,0.20630064747864624,-1.7700520110213221e-15,0.0,0.0,0.0
0.024000000000000014,1.0,0.20630064747864624,0.20630064747864624,-1.7700520110213221e-15,0.0,0.0,0.0
0.025000000000000015,1.0,0.20630064747864624,0.20630064747864624,-1.7700520110213221e-15,0.0,0.0,0.0
